,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Cynognathus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Cynognathus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Thylacoleo,,,,,,Pygmy hippo,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Solenodon,Water deer
,,Procoptdon,,Thylacoleo,,,,,,,,Ghost bat,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Ghost bat,Tasmanian devil
,,Nuralagus rex,,,,Thylacoleo,,,,Pygmy hippo,,,,Ghost bat
,,Pseudaelurus,Pseudaelurus,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Jaguarundi,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Dimbetrodon,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,Homo floresiensis,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Homo floresiensis,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Deinogalerix,,,,Thylacoleo,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Thylacoleo,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis ,Orinoco crocodile,Orinoco crocodile,,,,,,Pygmy hippo,,,,Harar hyena,Harar hyena
Praying mantis ,,PM,,Bothrops asper,,,,,,,,Harar hyena,,Belo horizonte marmoset
,,Goliath tarantula,Bothrops asper,,,,,,,,,,Raccoon,Bristol fox
,,Bothrops asper,,,Bothrops asper,,,,,,Harar hyena,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Coyote,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Bothrops asper,,,,Berlin boar,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Bobcat,Bobcat
,,Bearded lizard,,Eurasian eagle owl,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo Dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Common octopus,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,Common octopus,,,,,,,,,,Porcupine,Porcupine
,,Common octopus,,Common octopus,,,,,,,,Porcupine,,Dheli rhesus
,,Green anaconda,Tardigrade,,,,,,,,,,Common hedgehog,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
