,Wildcard ,,Round_1 ,Round_2,Round_3 ,Round_4,Round_5,Final,Round_5,Round_4,Round_3,Round_2,Round_1,
,,Doedicurus,Doedicurus,,,,,,,,,,Pygmy hippo,Pygmy hippo
,,Jugulator,,Thallassocnus,,,,,,,,Pygmy hippo,,Star-Nosed mole
,,Cynognathus,Thallassocnus,,,,,,,,,,Maned rat,Maned rat
,,Thallassocnus,,,Andrewsarchus,,,,,,Pygmy hippo,,,Platypus
,,Thylacoleo,Thylacoleo,,,,,,,,,,Water deer,Water deer
,,Procoptdon,,Andrewsarchus,,,,,,,,Tasmanian devil,,Solenodon
,,Andrewsarchus,Andrewsarchus,,,,,,,,,,Tasmanian devil,Tasmanian devil
,,Nuralagus rex,,,,Amebelodon,,,,Pygmy hippo,,,,Ghost bat
,,Pseudaelurus,Archaeoindris,,,,,,,,,,Jaguarundi,Jaguarundi
,,Archaeoindris,,Dimbetrodon,,,,,,,,Crabeater seal,,Desman
,,Dimbetrodon,Dimbetrodon,,,,,,,,,,Crabeater seal,Crabeater seal
,,Aegyptopithecus,,,Amebelodon,,,,,,Cheetah,,,Edible doormouse
,,Homo floresiensis,Palaeoloxodon,,,,,,,,,,Coatimundi,Coatimundi
,,Palaeoloxodon,,Amebelodon,,,,,,,,Cheetah,,Aye-aye
,,Amebelodon,Amebelodon,,,,Amebelodon,,,,,,Cheetah,Cheetah
,,Deinogalerix,,,,,,Amebelodon,,,,,,Fat-tailed dunnart
,,,,,,,,,,,,,,
Goldcrest,Praying mantis ,Orinoco crocodile,Orinoco crocodile,,,,,,Amebelodon,,,,Harar hyena,Harar hyena
Praying mantis ,,Praying mantis ,,Orinoco crocodile,,,,,,,,Bristol fox,,Belo horizonte marmoset
,,Goliath tarantula,Goliath tarantula,,,,,,,,,,Bristol fox,Bristol fox
,,Bothrops asper,,,Orinoco crocodile,,,,,,Moscow dog,,,Raccoon
,,Secretary bird,Secretary bird,,,,,,,,,,Moscow dog,Moscow dog
,,Horseshoe crab,,Alligator snapping turtle,,,,,,,,Moscow dog,,Sewer rat
,,Alligator snapping turtle,Alligator snapping turtle,,,,,,,,,,Coyote,Coyote
,,Mantis shrimp,,,,Green anaconda,,,,Berlin boar,,,,Opossum
,,Eurasian eagle owl,Eurasian eagle owl,,,,,,,,,,Striped skunk,Bobcat
,,Bearded lizard,,Komodo dragon,,,,,,,,Berlin boar,,Striped skunk
,,Komodo dragon,Komodo dragon,,,,,,,,,,Berlin boar,Berlin boar
,,Giant salamander,,,Green anaconda,,,,,,Berlin boar,,,E. grey squirrel
,,Cookiecutter shark,Cookiecutter shark,,,,,,,,,,Dheli rhesus,Porcupine
,,Common octopus,,Green anaconda,,,,,,,,Cape town baboon,,Dheli rhesus
,,Green anaconda,Green anaconda,,,,,,,,,,Cape town baboon,Cape town baboon
,,Tardigrade,,,,,,,,,,,,Common hedgehog
